EBF_group,taxon_id,prevalence,taxon
non-EBF,24_Enterobacteriaceae(F),0.7486033519553073,24_Enterobacteriaceae(F)
non-EBF,Bacteroides,0.8659217877094972,Bacteroides
non-EBF,Bifidobacterium,1,Bifidobacterium
non-EBF,Blautia,0.9888268156424581,Blautia
non-EBF,Collinsella,0.8100558659217877,Collinsella
non-EBF,Enterococcus,0.94972067039106145,Enterococcus
non-EBF,Escherichia-Shigella,0.9608938547486033,Escherichia-Shigella
non-EBF,Lactobacillus,0.441340782122905,Lactobacillus
non-EBF,Streptococcus,1,Streptococcus
non-EBF,[Ruminococcus]_gnavugroup,0.9720670391061452,[Ruminococcus]_gnavugroup
EBF,24_Enterobacteriaceae(F),0.7493333333333333,24_Enterobacteriaceae(F)
EBF,Bacteroides,0.9253333333333333,Bacteroides
EBF,Bifidobacterium,1,Bifidobacterium
EBF,Blautia,0.992,Blautia
EBF,Collinsella,0.8773333333333333,Collinsella
EBF,Enterococcus,0.8773333333333333,Enterococcus
EBF,Escherichia-Shigella,0.976,Escherichia-Shigella
EBF,Lactobacillus,0.5893333333333334,Lactobacillus
EBF,Streptococcus,0.9893333333333333,Streptococcus
EBF,[Ruminococcus]_gnavugroup,0.976,[Ruminococcus]_gnavugroup
